Time;Moisture;temperature
2014.03.20 19:55:30;527;7.0
2014.03.20 19:55:35;528;7.0
2014.03.20 19:55:40;527;7.0
2014.03.20 19:55:45;525;7.0
2014.03.20 19:55:50;523;7.0
2014.03.20 19:55:55;522;7.0
2014.03.20 19:56:00;520;7.0
2014.03.20 19:56:05;519;7.0
2014.03.20 19:56:10;519;7.0
2014.03.20 19:56:15;519;7.0
2014.03.20 19:56:20;516;7.0
2014.03.20 19:56:25;516;7.0
2014.03.20 19:56:30;518;7.0
2014.03.20 19:56:35;515;7.0
2014.03.20 19:56:40;513;7.0
2014.03.20 19:56:45;513;7.0
2014.03.20 19:56:50;511;7.0
2014.03.20 19:56:55;513;7.0
2014.03.20 19:57:00;512;7.0
2014.03.20 19:57:05;511;7.0
2014.03.20 19:57:10;513;7.0
2014.03.20 19:57:15;514;7.0
2014.03.20 19:57:20;515;7.0
2014.03.20 19:57:25;512;7.0
2014.03.20 19:57:30;511;7.0
2014.03.20 19:57:35;513;7.0
2014.03.20 19:57:40;509;7.0
2014.03.20 19:57:45;511;7.0
2014.03.20 19:57:50;514;7.0
2014.03.20 19:57:55;515;7.0
2014.03.20 19:58:00;514;7.0
2014.03.20 19:58:05;513;7.0
2014.03.20 19:58:10;511;7.0
2014.03.20 19:58:15;510;7.0
2014.03.20 19:58:20;508;7.0
2014.03.20 19:58:25;512;7.0
2014.03.20 19:58:30;511;7.0
2014.03.20 19:58:35;517;7.0
2014.03.20 19:58:40;524;7.0
2014.03.20 19:58:45;521;7.0
2014.03.20 19:58:50;527;7.0
2014.03.20 19:58:55;525;7.0
2014.03.20 19:59:00;521;7.0
2014.03.20 19:59:05;522;7.0
2014.03.20 19:59:10;519;7.0
2014.03.20 19:59:15;520;7.0
2014.03.20 19:59:20;515;7.0
2014.03.20 19:59:25;518;7.0
2014.03.20 19:59:30;519;7.0
2014.03.20 19:59:35;515;7.0
2014.03.20 19:59:40;510;7.0
2014.03.20 19:59:45;507;7.0
2014.03.20 19:59:50;506;7.0
2014.03.20 19:59:56;507;7.0
2014.03.20 20:00:01;506;7.0
2014.03.20 20:00:06;502;7.0
2014.03.20 20:00:11;497;7.0
2014.03.20 20:00:16;496;7.0
2014.03.20 20:00:21;513;7.0
2014.03.20 20:00:26;509;7.0
2014.03.20 20:00:31;508;7.0
2014.03.20 20:00:36;507;7.0
2014.03.20 20:00:41;505;7.0
2014.03.20 20:00:46;506;7.0
2014.03.20 20:00:51;507;7.0
2014.03.20 20:00:56;507;7.0
2014.03.20 20:01:01;503;7.0
2014.03.20 20:01:06;504;7.0
2014.03.20 20:01:11;505;7.0
2014.03.20 20:01:16;510;7.0
2014.03.20 20:01:21;512;7.0
2014.03.20 20:01:26;507;7.0
2014.03.20 20:01:31;506;7.0
2014.03.20 20:01:36;509;7.0
2014.03.20 20:01:41;515;7.0
2014.03.20 20:01:46;513;7.0
2014.03.20 20:01:51;515;7.0
2014.03.20 20:01:56;514;7.0
2014.03.20 20:02:01;517;7.0
2014.03.20 20:02:06;515;7.0
2014.03.20 20:02:11;516;7.0
2014.03.20 20:02:16;515;7.0
2014.03.20 20:02:21;525;7.0
2014.03.20 20:02:26;525;7.0
2014.03.20 20:02:31;535;7.0
2014.03.20 20:02:36;529;7.0
2014.03.20 20:02:41;525;7.0
2014.03.20 20:02:46;529;7.0
2014.03.20 20:02:51;531;7.0
2014.03.20 20:02:56;524;7.0
2014.03.20 20:03:01;525;7.0
2014.03.20 20:03:06;528;7.0
2014.03.20 20:03:11;527;7.0
2014.03.20 20:03:16;525;7.0
2014.03.20 20:03:21;519;7.0
2014.03.20 20:03:26;518;7.0
2014.03.20 20:03:31;522;7.0
2014.03.20 20:03:36;521;7.0
2014.03.20 20:03:41;523;7.0
2014.03.20 20:03:46;523;7.0
2014.03.20 20:03:51;521;7.0
2014.03.20 20:03:56;528;7.0
2014.03.20 20:04:01;529;7.0
2014.03.20 20:04:06;535;7.0
2014.03.20 20:04:11;537;7.0
2014.03.20 20:04:16;558;7.0
2014.03.20 20:04:21;553;7.0
2014.03.20 20:04:26;555;7.0
2014.03.20 20:04:31;554;7.0
2014.03.20 20:04:36;553;7.0
2014.03.20 20:04:41;552;7.0
2014.03.20 20:04:46;553;7.0
2014.03.20 20:04:51;563;7.0
2014.03.20 20:04:56;560;7.0
2014.03.20 20:05:01;568;7.0
2014.03.20 20:05:06;572;7.0
2014.03.20 20:05:11;568;7.0
